LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16238	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6249	1976	22 September 1976
16239	R.D. Suttkus	Suttkus	"Suttkus, Sorensen & Heins"	RDS 6250	1976	22 September 1976
16239	Sorensen	Sorensen	"Suttkus, Sorensen & Heins"	RDS 6250	1976	22 September 1976
16239	Heins	Heins	"Suttkus, Sorensen & Heins"	RDS 6250	1976	22 September 1976
16240	R.D. Suttkus	Suttkus	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6251	1976	1 October 1976
16240	Beckham	Beckham	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6251	1976	1 October 1976
16240	Conner	Conner	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6251	1976	1 October 1976
16240	Heath	Heath	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6251	1976	1 October 1976
16240	Levine	Levine	"Suttkus, Beckham, Conner, Heath & Levine"	RDS 6251	1976	1 October 1976
16241	R.D. Suttkus	Suttkus	R.D. Suttkus & E.C. Beckham	RDS 6254	1976	1 October 1976
16241	E.C. Beckham	Beckham	R.D. Suttkus & E.C. Beckham	RDS 6254	1976	1 October 1976
16242	Conner	Conner	"Conner, Heath & Levine"	RDS 6255	1976	1 October 1976
16242	Heath	Heath	"Conner, Heath & Levine"	RDS 6255	1976	1 October 1976
